"","V1","V2","V3","V4","V5","V6","V7"
"1",0.40234222861216,0.313119523912636,0,0.78561962714028,0.227854254491721,0.559367469677083,0.469363130550074
"2",0,0,0,0,0,0,0
"3",0.00373855791454368,0,0,0,0,0,0.00600898232901949
"4",0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0
"6",0,0,0.0444906990996355,0.0225471221518958,0,0,0
"7",0,0,0,0,0,0,0
"8",0.102818612025597,0.0884299495084386,0.197259568290261,0.108831786417193,0.155960288156582,0.0730848027130363,0.13459693072551
"9",0.0348791642434164,0.0294774699177011,0,0,0.0176870418421004,0,0.0173913394067353
"10",0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0
"15",0.0847239145776356,0.09559260667243,0,0,0.106910724637331,0.0756394823427446,0.115645071524918
"16",0.0487579252754668,0.0442560015342997,0.0248536448422289,0,0.0927212810089862,0.0393294183539474,0.0913124041848765
"17",1.19084075203172,0.85358489064249,0.0502724694586456,0.289522997673668,0.948083470879064,0.302210020898556,0.0858877294532635
"18",0.123577454942546,0.063486468271135,0.157172999825551,0.497377908706175,0.122592875648752,0.120539663048032,0.0719214371018177
"19",0.302186125809716,0.239577629982735,0.0736356674152479,0.0808283147793146,0.318784666718626,0.155908020880528,0.32852457422064
"20",0.0037276423677867,0,0,0,0,0,0
"21",0.0654266719346592,0.0864101861867344,0.0114897272587781,0,0.0693403466718735,0.0270331497354293,0.0806932648756382
"22",0,0,0,0,0,0,0
"23",0.0308129973036398,0.0191464761654486,0.0139522873139349,0,0.0284954802914242,0.0341150273017876,0.0591405206742959
"24",0.00813699391790538,0.00477913544540025,0,0,0.00433940445034867,0,0.0040271536997865
"25",0.10922649335699,0.13506128760247,0.015545493731478,0.211072090048764,0.160040715192932,0.0379546134788188,0.0860620689611059
"26",0.0665812289522221,0.0720782811745127,0.0336879607004731,0,0.0580414446190624,0.0482513091066049,0.0612524291397914
"27",0.137938765586252,0.107464816169348,0.0160300961639907,0,0.0902657241927334,0.053301642862158,0.122103747424998
"28",0.0152339427363454,0.0213806802616672,0,0,0.00419076435888847,0,0
"29",0,0.00591572780763183,0.0135159335749258,0,0,0.0372208029986027,0
"30",0.00562794492416055,0.0101553596231889,0.0105569551932935,0,0.00398595959801735,0.0123892846675236,0.0127209142726775
"31",0,0,0,0.0118707245982518,0,0.0148457226270486,0.021045491315037
"32",0,0,0,0,0.00410300495593698,0,0
"33",0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0
"35",0.0160228912208977,0.0573389380310388,0,0,0.0081198999008501,0.00754143040734404,0
"36",0.00534981703603275,0.010056452711572,0,0,0.0138809387686654,0,0
"37",0,0,0,0,0,0,0
"38",0.0424033337781951,0.0488460686825002,0,0.0222897768562316,0.103670846155919,0.023908458448131,0.0204683015199776
"39",0.00325447087895631,0.00540844286546316,0,0,0,0.0063322178176514,0
"40",0.0569472429675974,0.0685476150101811,0.0172596906227117,0.0864773598328916,0.0674301951341851,0.118914606183255,0.0674503066322376
"41",0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0
"43",0.0280317675331591,0.0364357647840031,0,0.0107455644286501,0.0687768562403906,0,0.00501193899991385
"44",0.00813062203754616,0.0141683339372364,0.127483094498357,0.0112471693234172,0.00441582853074244,0.0129883436117841,0.012405674426277
"45",0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0.160001404055071
"47",0,0.00966638544227901,0.01630425790281,0,0,0,0
"48",0,0,0.0142974131404656,0,0,0,0
