"","V1","V2","V3","V4","V5","V6","V7"
"10459",0.130328152946942,0.071120494023932,0.0155288281661056,0.0549748603986282,0.148908332094909,0.0432070086481813,0.138785527359908
"10460",0.087587286980453,0.0745431292494378,0.0368192218053553,0.411152096963772,0.076273203483956,0.0261568314270891,0.0631835690424025
"10461",0,0,0,0,0.0647788767899857,0.0145524090184046,0
"10462",0,0,0,0,0,0,0
"10463",0.428207982221498,0.244636980322222,0.194198534807418,0.332686404622793,0.448743495733081,0.331020321874305,0.448040512504051
"10464",0.0108510090453468,0.0233831529923204,0.0109359593657254,0,0.0200783739984423,0.0652219950268838,0.0352642737960813
"10465",0,0,0,0,0,0,0
"10466",0.0123035493993881,0,0.0498008390475241,0.669656184847791,0.0190273399716916,0.0352857593959119,0.0127418504394727
"10467",0.297245378305036,0.237697299668572,0.0140498054162517,0.63739213033536,0.50625263964662,0.192323846157846,0.166994218328784
"10468",0.459710420008538,0.200537871506385,0.100885246534613,0.0852759376116405,0.374807704480017,0.0394334972952241,0.127234555539363
"10469",0,0,0,0,0,0,0
"10470",0,0,0,0,0,0,0
"10471",0.475876721843088,0.247091974013622,0.116437311758613,1.02440734384652,0.434611605962663,0.314633491237116,0.436172041878458
"10472",0.333320161334729,0.216412592844744,0,0,0.154467170799539,0,0.0357994645528913
"10473",0.00359036313008105,0,0,0.143904401572482,0,0,0
"10474",0,0.0358269119064523,0,0,0.0593388413852056,0,0
"10475",0,0,0,0,0,0,0
"10476",0,0,0,0,0,0,0
"10477",0,0,0,0.0147713230039318,0,0.00851102222208378,0
"10478",0.0659970261750805,0.0901506120349632,0.0151909428638817,0,0.0383362218461436,0.0609477143991652,0.101953249350923
"10479",0.102966274744673,0.0704170753333616,0,0.00728844340557735,0.0233836346379489,0.01414396780015,0.0928509614640423
"10480",0.272549972745657,0.145870563912197,0.0162088870469325,0.129418549088208,0.190651034695918,0.0748092577032246,0.229355461570656
"10481",0,0,0,0,0,0,0
"10482",0.233566156659245,0.188754085915048,0.0149606041354557,0.0934007660861241,0.196324008438971,0.100257630340234,0.290672809464917
"10483",0.0314583661186055,0.0652489422983454,0.0151841323570358,0.00975157738353589,0.025901219679695,0.0135237997847738,0.0929889576987713
"10484",0.100811250446225,0.104968317350231,0.0289420360509006,0.231393826113381,0.106892430370577,0.0965493718609252,0.109594560051424
"10485",0.0159893431843343,0.0289991775433485,0,0,0.0157887130973075,0.012921945234935,0
"10486",0,0.00559889216357586,0,0,0.00466317684065818,0.115812718122004,0.00534030310688814
"10487",0,0,0,0,0,0,0
"10488",0.0808478290599306,0.0104360448074283,0,0.0115328562606204,0,0,0
"10489",0.0838590878144441,0.0407876120224878,0.0310418027297084,0,0.1470256820918,0.00670657526414411,0.0856063293651683
"10490",0.211956881899957,0.223941254577532,0.0339677373688489,0.6857278259226,0.26892500673652,0.0865275053872217,0.189047874319038
"10491",0.00667129236645404,0.0113209876692208,0,0,0.00513137701799894,0.015218476680148,0.0140788624608788
"10492",0,0,0,0,0,0,0
"10493",0.0233942800238587,0.019013234060654,0,0,0.0172705422477289,0.00690498927086722,0.00458382540802406
"10494",0.650999112824754,0.38645052079988,0.212190368182349,0.783899821078755,0.556919502203518,0.145922903561503,0.50904993081592
"10495",0.140510775236714,0.0870553547401028,0.0159993830499059,0.140157533626014,0.15501467977275,0.0853744092337654,0.101811619332156
"10496",0.0127632673784255,0.0372938183772138,0,0,0,0.0195761466012102,0.0475350248646141
"10497",0.204409136122579,0.147069139457953,0.0302722344218571,0.369316369934773,0.231868960387185,0.0809392838065194,0.121438043706078
"10498",0.028030374667973,0.0390636362396748,0.0135860583586278,0,0.0569902634167543,0.0686562228923522,0.0354778131010228
"10499",0.0322977450158525,0.0180102973031107,0.0360845989523644,0.0960488158101873,0.0695198992340969,0.0240374736194234,0.0443283521289962
"10500",0,0,0,0,0,0,0
"10501",0.0240993692872319,0.0203296461289574,0,0.0104113443996086,0.0432737515626193,0.0136965125290103,0.0235976510439164
"10502",0.492082065629226,0.243945675902652,0.141371428532533,0.424678026598286,0.410861446746425,0.311383865022281,0.555000401933319
"10503",1.09723797185563,0.790162289209496,0.433480804987998,2.39934207262914,1.22864149368198,1.19507830094985,1.06990817274199
"10504",0.0798144436061382,0.0976745606060089,0,0.013114463462391,0.105187961361232,0.0212307569031237,0.0589043078563756
"10505",0.153612550527565,0.0679470128003714,0,0.57951305700732,0.164186663419188,0.126164286493835,0.13269829681429
"10506",0.0251939721740942,0.0249223729256731,0,0,0.0172478295863003,0.00841374021808101,0.0181357222085917
"10507",0.571240974638757,0.359193002282284,0.127000868295089,1.28885419300163,0.637865954077491,0.232482794232552,0.439093656658297
"10508",0.422685472145981,0.251931725199098,0.0150655389817604,0.516016799722328,0.33180283311394,0.123268931449475,0.370941325378579
"10509",0.0110273531771124,0.00960864150331255,0,0,0.00881863317531653,0,0.00796944562797995
"10510",0,0,0,0,0,0,0
"10511",0,0,0,0,0,0,0
"10512",0,0,0,0,0,0,0
"10513",0.00746016517500946,0.00970476439047091,0,0,0,0,0.00429211470203794
"10514",2.2866643042289,0.731480817039066,0.162637124287027,0.847117755498421,0.930768938910223,0.41490510132552,0.515947396063389
